District_Name,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Farm_Size_Acres
Kolhapur,75,50,100,6.5,1861.635725,20,79.83823177
Kolhapur,80,50,100,6.5,1400.435779,20,33.93279559
Kolhapur,85,50,100,6.5,574.3080279,20,59.67320614
Kolhapur,90,50,100,6.5,1900.397115,20,50.00026124
Kolhapur,95,50,100,6.5,1568.615247,20,94.62805798
Kolhapur,100,50,100,6.5,1489.778761,20,75.00988897
Kolhapur,75,55,105,7,1572.511911,25,73.32372052
Kolhapur,80,55,105,7,1386.460444,25,5.588973674
Kolhapur,85,55,105,7,239.8026508,25,55.41729723
Kolhapur,90,55,105,7,656.5128674,25,47.23215394
Kolhapur,95,55,105,7,1921.829312,25,92.85638439
Kolhapur,100,55,105,7,719.4877042,25,26.47685683
Kolhapur,75,60,110,7.5,1588.927672,30,27.71351188
Kolhapur,80,60,110,7.5,964.0711467,30,41.72327864
Kolhapur,85,60,110,7.5,1833.549889,30,25.09360163
Kolhapur,90,60,110,7.5,1203.804298,30,13.78920786
Kolhapur,95,60,110,7.5,1337.394794,30,85.88406982
Kolhapur,100,60,110,7.5,631.3253015,30,56.26937592
Kolhapur,75,50,115,6.5,303.5421316,35,86.27490918
Kolhapur,80,50,115,6.5,1561.801328,35,83.28234177
Kolhapur,85,50,115,6.5,321.7579211,35,28.92219312
Kolhapur,90,50,115,6.5,1499.236744,35,55.22600699
Kolhapur,95,50,115,6.5,1199.887152,35,9.238552571
Kolhapur,100,50,115,6.5,1676.042683,35,91.60993652
Kolhapur,75,55,100,7,570.3915611,20,41.02200879
Kolhapur,80,55,100,7,1174.753319,20,39.97394221
Kolhapur,85,55,100,7,1305.508497,20,30.97278169
Kolhapur,90,55,100,7,333.736028,20,46.60571073
Kolhapur,95,55,100,7,1530.093231,20,25.92417927
Kolhapur,100,55,100,7,900.2529834,20,38.11037501
Kolhapur,75,60,105,7.5,432.0453609,25,80.19475781
Kolhapur,80,60,105,7.5,896.7168799,25,83.59129485
Kolhapur,85,60,105,7.5,376.9426743,25,31.11406529
Kolhapur,90,60,105,7.5,1798.392571,25,47.43242862
Kolhapur,95,60,105,7.5,1022.167821,25,87.50815785
Kolhapur,100,60,105,7.5,448.4505117,25,6.214659851
Kolhapur,75,50,110,6.5,653.7722199,30,89.02535124
Kolhapur,80,50,110,6.5,1504.368386,30,22.69925022
Kolhapur,85,50,110,6.5,1614.958701,30,68.17538518
Kolhapur,90,50,110,6.5,274.3695113,30,58.67261794
Kolhapur,95,50,110,6.5,307.7843733,30,55.74113407
Kolhapur,100,50,110,6.5,1850.933308,30,86.07666225
Kolhapur,75,55,115,7,795.7680102,35,11.05564222
Kolhapur,80,55,115,7,547.9829614,35,35.35577451
Kolhapur,85,55,115,7,421.5037371,35,54.28702189
Kolhapur,90,55,115,7,1056.723461,35,81.31759654
Kolhapur,95,55,115,7,1587.89485,35,22.42786526
Kolhapur,100,55,115,7,1138.011982,35,80.4900543
Kolhapur,75,60,100,7.5,237.2126233,20,40.56420977
Kolhapur,80,60,100,7.5,1071.028939,20,19.70247179
Kolhapur,85,60,100,7.5,760.982739,20,76.1396576
Kolhapur,90,60,100,7.5,1429.146506,20,9.998991246
Kolhapur,95,60,100,7.5,1142.316143,20,51.96197003
Kolhapur,100,60,100,7.5,1937.60687,20,7.323702602
Kolhapur,75,50,105,6.5,1276.695477,25,36.28536766
Kolhapur,80,50,105,6.5,1338.465739,25,60.5066031
Kolhapur,85,50,105,6.5,1136.415392,25,56.05543861
Kolhapur,90,50,105,6.5,759.8098771,25,41.06088637
Kolhapur,95,50,105,6.5,1335.085684,25,43.4757514
Kolhapur,100,50,105,6.5,799.2409398,25,23.45018578
Kolhapur,75,55,110,7,1491.226666,30,46.13237625
Kolhapur,80,55,110,7,626.3235871,30,95.37223072
Kolhapur,85,55,110,7,861.790463,30,85.19483886
Kolhapur,90,55,110,7,1250.566988,30,15.37805404
Kolhapur,95,55,110,7,1331.285064,30,3.948297945
Kolhapur,100,55,110,7,1403.50315,30,93.41890696
Kolhapur,75,60,115,7.5,1460.569644,35,53.14822524
Kolhapur,80,60,115,7.5,772.951479,35,54.24594449
Kolhapur,85,60,115,7.5,1806.637534,35,78.29108157
Kolhapur,90,60,115,7.5,253.8804949,35,32.15420841
Kolhapur,95,60,115,7.5,539.1738884,35,48.70884931
Kolhapur,100,60,115,7.5,326.2534752,35,96.8976284
Kolhapur,20,25,25,6.5,1408.76655,25,67.54272001
Kolhapur,25,25,25,6.5,692.5974257,25,16.22075817
Kolhapur,30,25,25,6.5,558.4763131,25,14.18944805
Kolhapur,35,25,25,6.5,1065.201478,25,21.22221107
Kolhapur,40,25,25,6.5,1314.285539,25,76.90445577
Kolhapur,20,30,30,7,1314.642961,30,30.24232338
Kolhapur,25,30,30,7,1203.414553,30,3.117495821
Kolhapur,30,30,30,7,1985.575448,30,94.47326199
Kolhapur,35,30,30,7,1748.386599,30,17.80162822
Kolhapur,40,30,30,7,629.9483692,30,1.946260429
Kolhapur,20,35,35,7.5,1565.689267,25,24.47602864
Kolhapur,25,35,35,7.5,1224.735,25,24.26784992
Kolhapur,30,35,35,7.5,326.9342879,25,42.77851983
Kolhapur,35,35,35,7.5,289.2459529,25,92.11859332
Kolhapur,40,35,35,7.5,1639.314295,25,88.03930686
Kolhapur,20,25,40,6.5,1180.983241,30,46.23256094
Kolhapur,25,25,40,6.5,1228.3848,30,41.67909059
Kolhapur,30,25,40,6.5,805.2842988,30,55.94589956
Kolhapur,35,25,40,6.5,1874.626528,30,25.10194719
Kolhapur,40,25,40,6.5,1484.026008,30,6.166314205
Kolhapur,20,30,25,7,1869.990491,25,93.98318948
Kolhapur,25,30,25,7,378.6810633,25,19.4831995
Kolhapur,30,30,25,7,1250.712829,25,20.6416722
Kolhapur,35,30,25,7,1347.54905,25,47.77357256
Kolhapur,40,30,25,7,426.787981,25,49.66972114
Kolhapur,20,35,30,7.5,823.2769786,30,2.82498676
Kolhapur,25,35,30,7.5,586.647825,30,15.64751914
Kolhapur,30,35,30,7.5,1972.026156,30,38.43732704
Kolhapur,35,35,30,7.5,1178.147344,30,68.68933866
Kolhapur,40,35,30,7.5,767.4696434,30,23.61342723
Kolhapur,20,25,35,6.5,1396.093974,25,42.87843018
Kolhapur,25,25,35,6.5,1387.185717,25,56.17716141
Kolhapur,30,25,35,6.5,825.1946767,25,88.97065697
Kolhapur,35,25,35,6.5,1989.061146,25,33.28097973
Kolhapur,40,25,35,6.5,1656.130848,25,14.22226832
Kolhapur,20,30,40,7,920.5727056,30,49.43795036
Kolhapur,25,30,40,7,1388.10682,30,74.92543857
Kolhapur,30,30,40,7,1478.971321,30,11.87611595
Kolhapur,35,30,40,7,512.8697354,30,43.04366568
Kolhapur,40,30,40,7,1780.68651,30,2.760728985
Kolhapur,20,35,25,7.5,1686.868058,25,4.322358983
Kolhapur,25,35,25,7.5,1560.214875,25,48.81238296
Kolhapur,30,35,25,7.5,600.8169099,25,30.52153252
Kolhapur,35,35,25,7.5,445.2496667,25,84.6656226
Kolhapur,40,35,25,7.5,524.9865507,25,60.61327631
Kolhapur,20,25,30,6.5,367.4338567,30,45.93936321
Kolhapur,25,25,30,6.5,1892.523494,30,41.38560173
Kolhapur,30,25,30,6.5,1732.690009,30,50.22730254
Kolhapur,35,25,30,6.5,363.4030404,30,5.00344429
Kolhapur,40,25,30,6.5,1420.347271,30,89.38654229
Kolhapur,20,30,35,7,642.0572304,25,99.83201242
Kolhapur,25,30,35,7,231.092576,25,18.96722536
Kolhapur,30,30,35,7,726.3058475,25,12.91791351
Kolhapur,35,30,35,7,992.0541248,25,15.21416888
Kolhapur,40,30,35,7,236.0686855,25,66.44167877
Kolhapur,20,35,40,7.5,782.6960555,30,66.48264301
Kolhapur,25,35,40,7.5,1460.634733,30,84.94449207
Kolhapur,30,35,40,7.5,611.1712263,30,75.43081245
Kolhapur,35,35,40,7.5,1072.807356,30,45.51927766
Kolhapur,40,35,40,7.5,1797.645643,30,61.67268079
Kolhapur,40,20,20,6,251.1037698,25,69.14018237
Kolhapur,45,20,20,6,1614.146862,25,51.76091056
Kolhapur,50,20,20,6,891.0070825,25,48.08944746
Kolhapur,40,25,25,6.5,1174.069804,30,64.86464712
Kolhapur,45,25,25,6.5,615.5691098,30,56.18998035
Kolhapur,50,25,25,6.5,1242.107229,30,64.75028823
Kolhapur,40,20,25,7,1515.259369,25,61.67262262
Kolhapur,45,20,25,7,562.7682734,25,72.20045949
Kolhapur,50,20,25,7,817.883872,25,64.63754737
Kolhapur,40,25,20,7.5,1221.282196,30,52.45450616
Kolhapur,45,25,20,7.5,950.2057945,30,68.49788432
Kolhapur,50,25,20,7.5,727.6751802,30,45.49871455
Kolhapur,100,40,50,6,1013.037379,25,24.92545137
Kolhapur,105,40,50,6,723.4899809,25,1.140403793
Kolhapur,110,40,50,6,743.3724501,25,56.43645057
Kolhapur,115,40,50,6,1299.140619,25,59.47486743
Kolhapur,120,40,50,6,1058.717489,25,97.23284751
Kolhapur,125,40,50,6,1418.730004,25,36.78635508
Kolhapur,130,40,50,6,1707.400998,25,40.01919104
Kolhapur,135,40,50,6,1897.337592,25,20.97815855
Kolhapur,140,40,50,6,472.4323954,25,7.982895228
Kolhapur,145,40,50,6,1327.142621,25,77.50764479
Kolhapur,150,40,50,6,1248.319169,25,25.71842537
Kolhapur,100,45,55,6.5,1760.501461,30,61.28158124
Kolhapur,105,45,55,6.5,1812.601829,30,69.08953052
Kolhapur,110,45,55,6.5,1568.904665,30,47.65243204
Kolhapur,115,45,55,6.5,1271.831292,30,87.75885919
Kolhapur,120,45,55,6.5,558.6730396,30,44.93568926
Kolhapur,125,45,55,6.5,697.9491153,30,29.20595368
Kolhapur,130,45,55,6.5,1284.98076,30,89.70553677
Kolhapur,135,45,55,6.5,450.8187757,30,86.29486414
Kolhapur,140,45,55,6.5,531.1355121,30,17.23995476
Kolhapur,145,45,55,6.5,1840.578085,30,3.570140817
Kolhapur,150,45,55,6.5,1921.361616,30,9.908570079
Kolhapur,100,50,60,7,209.4224689,35,29.36819246
Kolhapur,105,50,60,7,1752.46747,35,97.25372037
Kolhapur,110,50,60,7,1888.424433,35,56.29309916
Kolhapur,115,50,60,7,1146.331049,35,37.95291147
Kolhapur,120,50,60,7,1008.020916,35,88.98289337
Kolhapur,125,50,60,7,1853.839093,35,45.86049682
Kolhapur,130,50,60,7,213.5596821,35,32.20862421
Kolhapur,135,50,60,7,1712.874505,35,94.18073335
Kolhapur,140,50,60,7,733.8369189,35,85.10224895
Kolhapur,145,50,60,7,1354.091971,35,84.52316917
Kolhapur,150,50,60,7,781.756451,35,51.71618956
Kolhapur,100,55,65,7.5,1141.300534,25,79.15440148
Kolhapur,105,55,65,7.5,1654.970892,25,18.75598257
Kolhapur,110,55,65,7.5,526.2841238,25,57.7490728
Kolhapur,115,55,65,7.5,1395.053514,25,98.40074636
Kolhapur,120,55,65,7.5,1817.006304,25,29.80488462
Kolhapur,125,55,65,7.5,1821.893075,25,79.6408806
Kolhapur,130,55,65,7.5,1809.417687,25,49.55736231
Kolhapur,135,55,65,7.5,1133.234183,25,4.940762639
Kolhapur,140,55,65,7.5,1581.862256,25,76.53892038
Kolhapur,145,55,65,7.5,1004.343942,25,17.68834529
Kolhapur,150,55,65,7.5,1028.294097,25,63.51588315
Kolhapur,100,60,70,6,710.9376889,30,9.480755211
Kolhapur,105,60,70,6,713.4094439,30,94.73987235
Kolhapur,110,60,70,6,268.0837795,30,29.88066483
Kolhapur,115,60,70,6,1156.648923,30,23.42000448
Kolhapur,120,60,70,6,755.7696459,30,13.784504
Kolhapur,125,60,70,6,537.8355793,30,94.65421714
Kolhapur,130,60,70,6,419.0830738,30,71.4784705
Kolhapur,135,60,70,6,824.5978939,30,74.42442798
Kolhapur,140,60,70,6,1818.219012,30,50.44105158
